benchmark,onnx_file,vnnlib_file,ground_truth,n_sat,n_unsat,n_timeout,n_unknown,n_error,dissenting_tools,source_tools
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_3.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_3.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_4.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_2.vnnlib,unsat,0,5,1,2,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat"
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_4.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,sat,6,0,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_3.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_4.vnnlib,unsat,0,7,0,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover"
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,unsat,0,7,0,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover"
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_3.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,sat,7,0,0,1,0,,"alpha_beta_crown,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx,prop_2.vnnlib,sat,7,0,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx,prop_3.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,unsat,0,4,1,3,0,,"alpha_beta_crown,neuralsat,nnenum,pyrat"
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,unsat,0,5,1,2,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat"
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx,prop_4.vnnlib,unsat,0,7,0,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover"
acasxu_2023,ACASXU_run2a_4_2_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_2_batch_2000.onnx,prop_2.vnnlib,unsat,0,5,1,2,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat"
acasxu_2023,ACASXU_run2a_4_2_batch_2000.onnx,prop_3.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_4_2_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_3_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_3_batch_2000.onnx,prop_3.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_3_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_4_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_4_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_4_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx,prop_10.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,sobolbox"
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_4_7_batch_2000.onnx,prop_1.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,sobolbox"
acasxu_2023,ACASXU_run2a_4_7_batch_2000.onnx,prop_2.vnnlib,sat,8,0,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
